gene_symbol	score	rank	method	disease
TP53	0.04908349675996025	1	rwr	Cancer
KRAS	0.03686930831646487	2	rwr	Cancer
PIK3CA	0.03664410706516345	3	rwr	Cancer
NRAS	0.03248252891089601	4	rwr	Cancer
ERBB2	0.0323113493505209	5	rwr	Cancer
CDKN2A	0.03205528053749422	6	rwr	Cancer
EGFR	0.03203939999520007	7	rwr	Cancer
BRCA1	0.0315393153965169	8	rwr	Cancer
MYC	0.031302359365291715	9	rwr	Cancer
NF1	0.0295833204074962	10	rwr	Cancer
BRAF	0.029331468147327754	11	rwr	Cancer
BRCA2	0.029072409879472356	12	rwr	Cancer
ATM	0.028869866922212713	13	rwr	Cancer
ARID1A	0.02834808077953279	14	rwr	Cancer
CCND1	0.028037699661791204	15	rwr	Cancer
CDK4	0.027745092502547114	16	rwr	Cancer
SMARCA4	0.02735517132584597	17	rwr	Cancer
MDM2	0.026460428564343403	18	rwr	Cancer
STK11	0.025486745539574574	19	rwr	Cancer
PTPN11	0.025241210848272674	20	rwr	Cancer
IDH1	0.024744250570502967	21	rwr	Cancer
RB1	0.024599917645369035	22	rwr	Cancer
SMARCB1	0.024506817791066192	23	rwr	Cancer
TERT	0.024196693615943437	24	rwr	Cancer
CHEK2	0.023713542879101247	25	rwr	Cancer
SMAD4	0.02358318266237495	26	rwr	Cancer
ALK	0.023515007169105206	27	rwr	Cancer
RET	0.023348019203867625	28	rwr	Cancer
MET	0.022776504389470518	29	rwr	Cancer
IDH2	0.02182900070278152	30	rwr	Cancer
NF2	0.02159772980881235	31	rwr	Cancer
POLE	0.021277111386369577	32	rwr	Cancer
GNAS	0.021040169313090468	33	rwr	Cancer
ROS1	0.020203040867701465	34	rwr	Cancer
KMT2D	0.019967288393514283	35	rwr	Cancer
NTRK1	0.019897548948749625	36	rwr	Cancer
SETD2	0.019345534376254515	37	rwr	Cancer
