gene_symbol	module_id	method	disease	module_size	module_density
arf_human	leiden_0	leiden	Cancer_Disease_PPI	9	0.3888888888888889
brca1_human	leiden_0	leiden	Cancer_Disease_PPI	9	0.3888888888888889
brca2_human	leiden_0	leiden	Cancer_Disease_PPI	9	0.3888888888888889
chk2_human	leiden_0	leiden	Cancer_Disease_PPI	9	0.3888888888888889
gnas2_human	leiden_0	leiden	Cancer_Disease_PPI	9	0.3888888888888889
mdm2_human	leiden_0	leiden	Cancer_Disease_PPI	9	0.3888888888888889
p53_human	leiden_0	leiden	Cancer_Disease_PPI	9	0.3888888888888889
pk3ca_human	leiden_0	leiden	Cancer_Disease_PPI	9	0.3888888888888889
rb_human	leiden_0	leiden	Cancer_Disease_PPI	9	0.3888888888888889
braf_human	leiden_1	leiden	Cancer_Disease_PPI	8	0.35714285714285715
dpoe1_human	leiden_1	leiden	Cancer_Disease_PPI	8	0.35714285714285715
idhc_human	leiden_1	leiden	Cancer_Disease_PPI	8	0.35714285714285715
nf1_human	leiden_1	leiden	Cancer_Disease_PPI	8	0.35714285714285715
rash_human	leiden_1	leiden	Cancer_Disease_PPI	8	0.35714285714285715
rask_human	leiden_1	leiden	Cancer_Disease_PPI	8	0.35714285714285715
rasn_human	leiden_1	leiden	Cancer_Disease_PPI	8	0.35714285714285715
smad4_human	leiden_1	leiden	Cancer_Disease_PPI	8	0.35714285714285715
alk_human	leiden_2	leiden	Cancer_Disease_PPI	7	0.42857142857142855
egfr_human	leiden_2	leiden	Cancer_Disease_PPI	7	0.42857142857142855
erbb2_human	leiden_2	leiden	Cancer_Disease_PPI	7	0.42857142857142855
merl_human	leiden_2	leiden	Cancer_Disease_PPI	7	0.42857142857142855
met_human	leiden_2	leiden	Cancer_Disease_PPI	7	0.42857142857142855
ptn11_human	leiden_2	leiden	Cancer_Disease_PPI	7	0.42857142857142855
ret_human	leiden_2	leiden	Cancer_Disease_PPI	7	0.42857142857142855
ari1a_human	leiden_3	leiden	Cancer_Disease_PPI	6	0.4
setd2_human	leiden_3	leiden	Cancer_Disease_PPI	6	0.4
smca4_human	leiden_3	leiden	Cancer_Disease_PPI	6	0.4
snf5_human	leiden_3	leiden	Cancer_Disease_PPI	6	0.4
stk11_human	leiden_3	leiden	Cancer_Disease_PPI	6	0.4
tert_human	leiden_3	leiden	Cancer_Disease_PPI	6	0.4
atm_human	leiden_4	leiden	Cancer_Disease_PPI	5	0.5
ccnd1_human	leiden_4	leiden	Cancer_Disease_PPI	5	0.5
cdk4_human	leiden_4	leiden	Cancer_Disease_PPI	5	0.5
cdn2a_human	leiden_4	leiden	Cancer_Disease_PPI	5	0.5
myc_human	leiden_4	leiden	Cancer_Disease_PPI	5	0.5
