gene_symbol	module_id	method	disease	module_size	module_density
ARID1A	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
ATM	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
BRCA1	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
BRCA2	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
CCND1	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
CDK4	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
CDKN2A	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
CHEK2	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
KMT2D	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
MDM2	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
MYC	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
POLE	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
RB1	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
SETD2	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
SMARCA4	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
SMARCB1	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
STK11	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
TERT	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
TP53	leiden_0	leiden	Cancer_Background	19	0.5497076023391813
ALK	leiden_1	leiden	Cancer_Background	18	0.477124183006536
BRAF	leiden_1	leiden	Cancer_Background	18	0.477124183006536
EGFR	leiden_1	leiden	Cancer_Background	18	0.477124183006536
ERBB2	leiden_1	leiden	Cancer_Background	18	0.477124183006536
GNAS	leiden_1	leiden	Cancer_Background	18	0.477124183006536
IDH1	leiden_1	leiden	Cancer_Background	18	0.477124183006536
IDH2	leiden_1	leiden	Cancer_Background	18	0.477124183006536
KRAS	leiden_1	leiden	Cancer_Background	18	0.477124183006536
MET	leiden_1	leiden	Cancer_Background	18	0.477124183006536
NF1	leiden_1	leiden	Cancer_Background	18	0.477124183006536
NF2	leiden_1	leiden	Cancer_Background	18	0.477124183006536
NRAS	leiden_1	leiden	Cancer_Background	18	0.477124183006536
NTRK1	leiden_1	leiden	Cancer_Background	18	0.477124183006536
PIK3CA	leiden_1	leiden	Cancer_Background	18	0.477124183006536
PTPN11	leiden_1	leiden	Cancer_Background	18	0.477124183006536
RET	leiden_1	leiden	Cancer_Background	18	0.477124183006536
ROS1	leiden_1	leiden	Cancer_Background	18	0.477124183006536
SMAD4	leiden_1	leiden	Cancer_Background	18	0.477124183006536
