nodeA	nodeB	weight	source	version
CCND1	PIK3CA	0.704	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	SMARCB1	0.716	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	SMARCA4	0.718	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	ARID1A	0.752	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	NRAS	0.791	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	KRAS	0.835	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	EGFR	0.841	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	BRCA2	0.861	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	BRAF	0.864	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	ERBB2	0.904	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	BRCA1	0.922	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	MDM2	0.926	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	TP53	0.946	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	MYC	0.969	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	RB1	0.998	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	CDKN2A	0.998	STRING_disease_fallback	STRING_v12.0_fallback
CCND1	CDK4	0.999	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	IDH2	0.712	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	ATM	0.718	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	BRCA1	0.721	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	BRCA2	0.721	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	CDK4	0.743	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	IDH1	0.762	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	GNAS	0.792	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	ROS1	0.862	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	MYC	0.872	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	ARID1A	0.873	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	STK11	0.88	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	RET	0.884	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	SMAD4	0.917	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	NRAS	0.944	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	TP53	0.949	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	PTPN11	0.953	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	ERBB2	0.966	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	MET	0.979	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	ALK	0.989	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	CDKN2A	0.992	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	NF1	0.996	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	EGFR	0.997	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	PIK3CA	0.998	STRING_disease_fallback	STRING_v12.0_fallback
KRAS	BRAF	0.999	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	PIK3CA	0.709	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	ARID1A	0.713	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	SMARCA4	0.75	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	SMARCB1	0.753	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	TERT	0.756	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	NRAS	0.822	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	MDM2	0.884	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	ATM	0.937	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	BRCA2	0.943	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	MYC	0.966	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	TP53	0.966	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	BRCA1	0.972	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	RB1	0.999	STRING_disease_fallback	STRING_v12.0_fallback
CDK4	CDKN2A	0.999	STRING_disease_fallback	STRING_v12.0_fallback
MDM2	BRCA2	0.702	STRING_disease_fallback	STRING_v12.0_fallback
MDM2	STK11	0.725	STRING_disease_fallback	STRING_v12.0_fallback
MDM2	BRCA1	0.794	STRING_disease_fallback	STRING_v12.0_fallback
MDM2	TERT	0.797	STRING_disease_fallback	STRING_v12.0_fallback
MDM2	MYC	0.813	STRING_disease_fallback	STRING_v12.0_fallback
MDM2	EGFR	0.897	STRING_disease_fallback	STRING_v12.0_fallback
MDM2	CHEK2	0.983	STRING_disease_fallback	STRING_v12.0_fallback
MDM2	ATM	0.995	STRING_disease_fallback	STRING_v12.0_fallback
MDM2	RB1	0.999	STRING_disease_fallback	STRING_v12.0_fallback
MDM2	CDKN2A	0.999	STRING_disease_fallback	STRING_v12.0_fallback
MDM2	TP53	0.999	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	IDH1	0.713	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	BRCA1	0.728	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	ROS1	0.735	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	MYC	0.74	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	CDKN2A	0.791	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	NF1	0.793	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	SMAD4	0.805	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	BRCA2	0.812	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	STK11	0.844	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	RET	0.891	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	ARID1A	0.913	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	TP53	0.941	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	BRAF	0.947	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	NTRK1	0.96	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	MET	0.961	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	ALK	0.979	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	PTPN11	0.99	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	ERBB2	0.992	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	NRAS	0.995	STRING_disease_fallback	STRING_v12.0_fallback
PIK3CA	EGFR	0.999	STRING_disease_fallback	STRING_v12.0_fallback
RB1	ARID1A	0.786	STRING_disease_fallback	STRING_v12.0_fallback
RB1	SMARCB1	0.802	STRING_disease_fallback	STRING_v12.0_fallback
RB1	CDKN2A	0.843	STRING_disease_fallback	STRING_v12.0_fallback
RB1	BRCA1	0.858	STRING_disease_fallback	STRING_v12.0_fallback
RB1	MYC	0.888	STRING_disease_fallback	STRING_v12.0_fallback
RB1	TP53	0.936	STRING_disease_fallback	STRING_v12.0_fallback
RB1	SMARCA4	0.979	STRING_disease_fallback	STRING_v12.0_fallback
TP53	ALK	0.772	STRING_disease_fallback	STRING_v12.0_fallback
TP53	NF2	0.773	STRING_disease_fallback	STRING_v12.0_fallback
TP53	IDH2	0.783	STRING_disease_fallback	STRING_v12.0_fallback
TP53	RET	0.801	STRING_disease_fallback	STRING_v12.0_fallback
TP53	MET	0.804	STRING_disease_fallback	STRING_v12.0_fallback
TP53	KMT2D	0.81	STRING_disease_fallback	STRING_v12.0_fallback
TP53	GNAS	0.81	STRING_disease_fallback	STRING_v12.0_fallback
TP53	SETD2	0.845	STRING_disease_fallback	STRING_v12.0_fallback
TP53	IDH1	0.845	STRING_disease_fallback	STRING_v12.0_fallback
TP53	SMAD4	0.875	STRING_disease_fallback	STRING_v12.0_fallback
TP53	NRAS	0.876	STRING_disease_fallback	STRING_v12.0_fallback
TP53	NF1	0.88	STRING_disease_fallback	STRING_v12.0_fallback
TP53	BRAF	0.887	STRING_disease_fallback	STRING_v12.0_fallback
TP53	TERT	0.902	STRING_disease_fallback	STRING_v12.0_fallback
TP53	ERBB2	0.935	STRING_disease_fallback	STRING_v12.0_fallback
TP53	EGFR	0.943	STRING_disease_fallback	STRING_v12.0_fallback
TP53	ARID1A	0.961	STRING_disease_fallback	STRING_v12.0_fallback
TP53	STK11	0.97	STRING_disease_fallback	STRING_v12.0_fallback
TP53	SMARCB1	0.976	STRING_disease_fallback	STRING_v12.0_fallback
TP53	SMARCA4	0.993	STRING_disease_fallback	STRING_v12.0_fallback
TP53	BRCA2	0.995	STRING_disease_fallback	STRING_v12.0_fallback
TP53	MYC	0.997	STRING_disease_fallback	STRING_v12.0_fallback
TP53	ATM	0.999	STRING_disease_fallback	STRING_v12.0_fallback
TP53	CHEK2	0.999	STRING_disease_fallback	STRING_v12.0_fallback
TP53	BRCA1	0.999	STRING_disease_fallback	STRING_v12.0_fallback
TP53	CDKN2A	0.999	STRING_disease_fallback	STRING_v12.0_fallback
ERBB2	SMAD4	0.708	STRING_disease_fallback	STRING_v12.0_fallback
ERBB2	NF2	0.734	STRING_disease_fallback	STRING_v12.0_fallback
ERBB2	RET	0.745	STRING_disease_fallback	STRING_v12.0_fallback
ERBB2	ATM	0.748	STRING_disease_fallback	STRING_v12.0_fallback
ERBB2	NTRK1	0.751	STRING_disease_fallback	STRING_v12.0_fallback
