nodeA	nodeB	weight	source	evidence	version
CCND1	NRAS	0.791	STRING_Local	combined_score	v12.0
CCND1	PTEN	0.855	STRING_Local	combined_score	v12.0
CCND1	RB1	0.998	STRING_Local	combined_score	v12.0
CCND1	SMARCB1	0.716	STRING_Local	combined_score	v12.0
CCND1	BRAF	0.864	STRING_Local	combined_score	v12.0
CCND1	EGFR	0.841	STRING_Local	combined_score	v12.0
CCND1	ERBB2	0.904	STRING_Local	combined_score	v12.0
CCND1	KRAS	0.835	STRING_Local	combined_score	v12.0
CCND1	CDKN2A	0.998	STRING_Local	combined_score	v12.0
CCND1	MDM2	0.926	STRING_Local	combined_score	v12.0
CCND1	CDK4	0.999	STRING_Local	combined_score	v12.0
CCND1	MYC	0.969	STRING_Local	combined_score	v12.0
CCND1	HRAS	0.747	STRING_Local	combined_score	v12.0
CCND1	BRCA1	0.922	STRING_Local	combined_score	v12.0
CCND1	ARID1A	0.752	STRING_Local	combined_score	v12.0
CCND1	SMARCA4	0.718	STRING_Local	combined_score	v12.0
CCND1	PIK3CA	0.704	STRING_Local	combined_score	v12.0
CCND1	TP53	0.946	STRING_Local	combined_score	v12.0
CCND1	BRCA2	0.861	STRING_Local	combined_score	v12.0
KRAS	PTPN11	0.953	STRING_Local	combined_score	v12.0
KRAS	IDH2	0.712	STRING_Local	combined_score	v12.0
KRAS	PTEN	0.936	STRING_Local	combined_score	v12.0
KRAS	ERBB2	0.966	STRING_Local	combined_score	v12.0
KRAS	BRCA1	0.721	STRING_Local	combined_score	v12.0
KRAS	IDH1	0.762	STRING_Local	combined_score	v12.0
KRAS	MYC	0.872	STRING_Local	combined_score	v12.0
KRAS	ATM	0.718	STRING_Local	combined_score	v12.0
KRAS	HRAS	0.992	STRING_Local	combined_score	v12.0
KRAS	NF1	0.996	STRING_Local	combined_score	v12.0
KRAS	SMAD4	0.917	STRING_Local	combined_score	v12.0
KRAS	BRAF	0.999	STRING_Local	combined_score	v12.0
KRAS	GNAS	0.792	STRING_Local	combined_score	v12.0
KRAS	EGFR	0.997	STRING_Local	combined_score	v12.0
KRAS	NRAS	0.944	STRING_Local	combined_score	v12.0
KRAS	CCND1	0.835	STRING_Local	combined_score	v12.0
KRAS	CDKN2A	0.992	STRING_Local	combined_score	v12.0
